,actualprice,discounted price,name
0,"  41,590",,"Voltas 1 Ton 3 Star (2018) Split AC (Copper, 123 CZA, White)"
1,"  33,000",,"Whirlpool 1 Ton 3 Star (2018) Split AC (Aluminium, Magicool DLX, White)"
2,"  45,590",,"Voltas 1.5 Ton 3 Star (2018) Split AC (185JY/183JZJ1, White)"
3,"  31,900",,"BPL 1.5 Ton 3 Star (2018) Split AC (Copper, A18KF3C8A, White)"
4,,,"Voltas 1.4 Ton 5 Star (2017) Split AC (Aluminium, SAC 175 IY, White/Black)"
5,0,,"Voltas 1 Ton 3 Star (2018) Split AC (125 EYR/123ZZY-IMR, Wine Red)"
6,"  50,990",,"Voltas 1.5 Ton 3 Star (2018) Split AC (Copper, 183 JZJ, White)"
7,"  49,150",,"Carrier 1.5 Ton 3 Star (2018) Split AC (Copper, Esko Cyclojet CAS18EK3J8F0, White)"
8,"  39,990",,"Voltas 1.5 Ton 5 Star Window AC (Copper,185 DZA, White)"
9,"  40,300",,"Carrier 1 Ton 3 Star (2018) Split AC (Copper, Esko Pro CAS12EO3C8F0, White)"
10,"  29,490",,"Voltas 1.5 Ton 3 Star Window AC (Copper, 183CYA/183 CZP, White)"
11,"  29,900",,"BPL 1 Ton 5 Star (2017) Split AC (BAC12K5AHL, White)"
12,"  36,490",,"Voltas 1 Ton 5 Star Window AC (Copper, 125 DY/125 DZA, White)"
13,"  33,900",,"BPL 1.5 Ton 5 Star (2017) Split AC (BAC18K5AHL, White)"
14,"  46,990",,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, JS-Q18YUXA, White)"
15,,,"Voltas 1 Ton 3 Star Inverter Split AC (Copper, 123V CZT, White)"
16,"  25,490",,"Voltas 1 Ton 3 Star Window AC (123 Lyi/123 LZF, White)"
17,,,"LG 1.5 Ton 3 Star Dual Inverter Split AC (JS-Q18CPXD, White)"
18,"  27,900",,"BPL 1 Ton 3 Star (2017) Split AC (BAC12K3CHL, White)"
19,"  37,290",,"Voltas 1 Ton 5 Star (2017) Split AC (1.0T VOLTAS SAC 125 DY, White)"
20,"  59,990",,"Voltas 1 Ton 4 Star Inverter Split AC (Copper, 124V SZS, White)"
21,"  32,750",,"Mitashi 1.0 Ton 3 Star Inverter Split AC (Copper, INA312K50, White)"
22,"  48,950",,"Carrier 1.5 Ton 3 Star (2018) Split AC (Copper, Esko Pro CAS18EO3N8F0, White)"
23,"  31,900",,"BPL 1.5 Ton 3 Star (2017) Split AC (BAC18K3CHL, White)"
24,0,,Orchid Engineers Stylish Remote Stand/ Remote Holder/ Remote Organizer For Tv And Ac Remotes
25,  999,,JaipurCrafts 220 TC Blue Polka Dots Reversible Poly Cotton AC Comfort/Blanket/Quilt (Single Bed)
26,"  2,375",,Maa-Ku 220V Aluminium Die Cast & Plastic Kitchen Exhaust Fan (17x17x5 CM)(Black)
27,  999,,JaipurCrafts 220 TC Flowers Print Reversible Poly Cotton AC Comforts/Blanket/Quilt (Single Bed)
28,"  2,500",,"Linenwalas 100% Soft Cotton Jaipuri Block Print King Size Dohar Ac/Comforter - 90""X100""- White - Blue - Tree Print"
29,"  1,199",,"Jaipurcrafts Webelkart Designer Collection Floral Ac Single Microfiber Blanket (54 X 84 Inches, Multicolor)"
