,actualprice,discounted price,name,ratings
0,"  1,549",  439,RTF Multicolour Printed Top Women/Girls Tunic Short Kurti For Jeans Cotton Top For Daily wear Stylish Casual and...,no rating
1,"  1,549",  439,RTF Multicolour Printed Top Women/Girls Tunic Short Kurti For Jeans Cotton Top For Daily wear Stylish Casual and Western Wear Women / Girls…,0
2,"  1,549",  439,RTF Multicolour Printed Top Women/Girls Tunic Short Kurti For Jeans Cotton Top For Daily wear Stylish Casual and Western Wear Women / Girls…,no rating
3,0,  549 -   599,Leriya Fashion Women's Western Wear Top,4.2 out of 5 stars
4,0,  649 -   699,"POISON IVY Women's Casual-elegant chiffon layered Sleeveless blouse,Elegant retro High-Low Wine/Olive Top…",no rating
5,0,  399,Triumphin Blue Women Tunic Short Kurti For Jeans Embroidered Cotton Top For Daily wear Stylish Casual and Western Wear Women / Girls…,3.9 out of 5 stars
6,  999,  487,The Bebo Black flute/bell sleeves Crepe Straight Elegant Top,no rating
7,"  2,599",  499,J B Fashion Women American Western Wear Crepe Musterd Color Top,no rating
8,0,  299 -   324,Deewa Pink Printed Top,3.5 out of 5 stars
9,0,  479 -   549,Leriya Fashion Women's Tops for Women Girls Ladies Latest regular fit tops Stylish Designer Partywear Western…,4.5 out of 5 stars
10,0,  389 -   399,Amayra Women's Rayon Navy Blue Cold Shoulder Solid Top,no rating
11,0,  349 -   499,Purvaja Women's Western Wear Top (OF_SHR),no rating
12,  899,  388,Vvoguish Women's Shirt Tops,no rating
13,0,  449 -   499,J B Fashion Women's Plain Regular Fit Top,no rating
14,  799,  449,Vvoguish Women's Regular Fit Cotton Top,3.9 out of 5 stars
15,"  1,999",  999,"Vitans Women Drop Shoulder Criss Cross Tie Front T-Shirt (Blue, One Size).",no rating
16,0,  549 -   599,POISON IVY Women's Casual Full Sleeve Solid Color Lattice Ribbed Neck Wine Top,no rating
17,0,  499,J B Fashion Women's Plain Regular Fit Top,no rating
18,0,  499 -   599,Leriya Fashion Women's Western Wear Top,2.4 out of 5 stars
19,"  2,599",  449,J B Fashion Women's Plain Regular Fit Top,no rating
20,"  1,048",  499,J B Fashion Women's Plain Regular Fit Top,3.8 out of 5 stars
21,0,  449 -   499,J B Fashion Women's Plain Regular Fit Top,no rating
22,0,  499 -   549,Leriya Fashion Women Tunic Short Top For Jeans Plain Diamond Georgette Top For Daily wear Stylish Casual and Western Wear Women / Girls…,no rating
23,  999,  349,Ramrath Women's Viscose Navy & White Casual Top,no rating
24,0,  449 -   499,J B Fashion Women's American Western Wear Crepe Top,no rating
25,0,"  449 -   1,599",Leriya Fashion Women's Western Wear Top,no rating
26,"  1,199",  599,Rare Pink Georgette Layered Top With Cut-Out Detail (EP1602),no rating
27,  999,  430,Karmic Vision Women's Crepe Printed Top,no rating
28,  999,  420,Karmic Vision Women's Crepe Multi Printed Casual Top,no rating
29,  999,  299,2Day Women's Top,no rating
30,0,  349 -   374,Deewa Black Cap Sleve Top,no rating
31,"  1,499",  749,ALC Creations Women's Chiffon A-Line Short Top,no rating
32,0,  699 -   799,One Femme Women's Plaid Check Print Tunic,no rating
33,0,  499,Rare Burgundy Georgette Blouson Top (EP1310),no rating
34,0,  449,J B Fashion Women's Plain Regular Fit Top,no rating
35,0,  449 -   499,J B Fashion Women American Western Wear Crepe Pink Color Top,no rating
36,0,  429 -   499,J B Fashion Women American Western Wear Crepe Multi Color Top,no rating
37,0,  199,"RALAH FAME Women Rayon Stylish Tops In 6 Different Colors / Available in S, M, L, XL SIZES",5.0 out of 5 stars
38,"  1,899",  499,Leriya Fashion Women Tunic Short Top For Jeans Plain Diamond Georgette Top For Daily wear Stylish Casual and Western Wear Women / Girls…,no rating
39,"  1,999",  549,Serein Women's Top (Green crepe top with flute sleeves),no rating
40,"  1,499",  499,American Crew Women's Long Sleeves Boat Neck Top (Lavender),no rating
41,0,  365 -   599,The Gud Look Women's Black Slim Shirt,no rating
42,0,  545 -   795,Indietoga women's blue moss crepe cold shoulder bell sleeves western wear top (Plus size XS to 7XL),no rating
43,  999,  500,Harpa Cold Shoulder Top (GR3747C-BLACK),4.0 out of 5 stars
44,0,  429 -   499,Koroshni Women's Western Wear Top (111),no rating
45,0,  599 -   684,Pistaa's Women's Cotton Short Kurti Top(Kwtstopylw_Yellow_0),no rating
46,0,  579 -   649,POISON IVY women's Casual Army Military Green/Olive/Mustard Shirt,no rating
47,0,  649,Queens Women's Cotton Reyon Wine Color Plain 3/4 Sleeve Top,no rating
48,0,  549 -   599,Leriya Fashion Women's Western Wear Top,no rating
49,  649,  294,Maniac Womens Cold Shoulder Maroon Printed Cotton Top,no rating
50,  799,  399,Miss Chase Women's Crop Top,no rating
51,"  1,499",  499,Westa Clothing Off Shoulder Cotton Tops For Women,no rating
52,0,  545 -   795,Indietoga women's maroon moss crepe cold shoulder bell sleeves western wear top (Plus size XS to 7XL),no rating
53,0,  324 -   349,Deewa White & Black Polycrepe Round Neck Casual Tops For Women,no rating
