,Striked Price,availability,links,name,price,rating,reviews,sale_price
0,,in stock,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HRD-1954BS-HED-20FDS/dp/B01MURKA7W/ref=sr_1_1?s=kitchen&ie=UTF8&qid=1524212955&sr=1-1&keywords=fridge,N/A,0,0,not reviewed,0
1,0,Available from these sellers.,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HRD-1703SR-R-HRD-1703SR/dp/B01N3C559R/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1524212955&sr=1-2&keywords=fridge,"Haier 170 L 3 Star Direct-Cool Single Door Refrigerator (HRD-1703SR-R/HRD-1703SR-E, Burgundy Red)",0,4.3 out of 5 stars,not reviewed,0
2,0,Available from these sellers.,https://www.amazon.in/Haier-Direct-Cool-Single-Refrigerator-HR-62VS/dp/B00OTE4X7Y/ref=sr_1_3?s=kitchen&ie=UTF8&qid=1524212955&sr=1-3&keywords=fridge,"Haier 52 L 3 Star Direct-Cool Single Door Refrigerator (HR-62VS, Silver Grey)",0,3.8 out of 5 stars,not reviewed,0
3,0,Available from these sellers.,https://www.amazon.in/Mitashi-Direct-Cool-Single-Door-Refrigerator-MSD050RF100/dp/B073HCDG9W/ref=sr_1_4?s=kitchen&ie=UTF8&qid=1524212955&sr=1-4&keywords=fridge,"Mitashi 46 L 2 Star Direct-Cool Single-Door Refrigerator (MSD050RF100, Silver)",0,3.8 out of 5 stars,not reviewed,0
4,"   28,925.00",In stock.,https://www.amazon.in/Whirlpool-Refrigerator-263D-Protton-Roy/dp/B078YJ9NSC/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1524212955&sr=1-5&keywords=fridge,"Whirlpool 240 L Frost-Free Multi-Door Refrigerator (FP 263D Protton Roy, Sunset Bronze)","   24,999.00",3.8 out of 5 stars,not reviewed,0
5,"   28,925.00",In stock.,https://www.amazon.in/Whirlpool-263D-PROTTON-SUNSET-BRONZE/dp/B06VV7PPKZ/ref=sr_1_6?s=kitchen&ie=UTF8&qid=1524212955&sr=1-6&keywords=fridge,"Whirlpool 240 L Frost-Free Multi-Door Refrigerator (FP 263D PROTTON ROY SUNSET BRONZE(N), Sunset Bronze)","   24,999.00",4.0 out of 5 stars,not reviewed,0
6,0,Available from these sellers.,https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-I292RPZL-Compressor/dp/B01DM8HR1Q/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1524212955&sr=1-7&keywords=fridge,"LG 260 L 4 Star Frost-Free Double Door Refrigerator (GL-I292RPZL, Shiny Steel, Inverter Compressor)",0,4.4 out of 5 stars,not reviewed,0
7,0,Available from these sellers.,https://www.amazon.in/Haier-Direct-Cool-Refrigerator-HRD-1903SR-HED-19TBR/dp/B06WVF5GPP/ref=sr_1_8?s=kitchen&ie=UTF8&qid=1524212955&sr=1-8&keywords=fridge,"Haier 190 L 3 Star Direct-Cool Single Door Refrigerator (HRD-1903SR-E/HED-19TBR,Basic/Burgandy Red)",0,4.2 out of 5 stars,not reviewed,0
8,"   28,925.00",In stock.,https://www.amazon.in/Whirlpool-Refrigerator-263D-Protton-Roy/dp/B078YHT1FR/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1524212955&sr=1-9&keywords=fridge,"Whirlpool 240 L Frost-Free Multi-Door Refrigerator (FP 263D Protton Roy, Alpha Steel)","   25,490.00",4.3 out of 5 stars,not reviewed,0
9,0,Available from these sellers.,https://www.amazon.in/LG-Direct-Cool-Single-Door-Refrigerator-GL-B201APZX/dp/B079QZYMNL/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1524212955&sr=1-10&keywords=fridge,"LG 190 L 4 Star Direct-Cool Single-Door Refrigerator (GL-B201APZX, Shiny Steel, Inverter Compressor)",0,4.0 out of 5 stars,not reviewed,0
