,Striked Price,availability,links,name,price,rating,reviews,sale_price
0,0,In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_shoes_sr_pg1_1?ie=UTF8&adId=A0994854CSEW3ETP9XW1&url=https%3A%2F%2Fwww.amazon.in%2FBeonza-Performance-Running-Sports-Shoes-BZSUR021-GREY-SPORTS_9%2Fdp%2FB07C7782KN%2Fref%3Dsr_1_1_sspa%3Fs%3Dshoes%26ie%3DUTF8%26qid%3D1524211788%26sr%3D1-1-spons%26keywords%3Dshoes%26psc%3D1&qualifier=1524211787&id=3035776909128695&widgetName=sp_atf,Beonza Men Grey Performance Series Running Sports Shoes,0,0,not reviewed,   499.00
1,0,Only 1 left in stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_shoes_sr_pg1_2?ie=UTF8&adId=A04590983V479YFF9TVN2&url=https%3A%2F%2Fwww.amazon.in%2FFausto-1021-40-Mens-Canvas-Shoes%2Fdp%2FB01CI5430W%2Fref%3Dsr_1_2_sspa%3Fs%3Dshoes%26ie%3DUTF8%26qid%3D1524211788%26sr%3D1-2-spons%26keywords%3Dshoes%26psc%3D1&qualifier=1524211787&id=3035776909128695&widgetName=sp_atf,FAUSTO Men's Lifestyle Canvas Shoes,   499.00,2.1 out of 5 stars,not reviewed,0
2,0,Only 1 left in stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_shoes_sr_pg1_3?ie=UTF8&adId=A05338544IFCK3SA4KQC&url=https%3A%2F%2Fwww.amazon.in%2FLaffare-Stylish-Running-Shoes-BLUE%2Fdp%2FB075MM29DS%2Fref%3Dsr_1_3_sspa%3Fs%3Dshoes%26ie%3DUTF8%26qid%3D1524211788%26sr%3D1-3-spons%26keywords%3Dshoes%26psc%3D1&qualifier=1524211787&id=3035776909128695&widgetName=sp_atf,Laffare Stylish Running Shoes,   499.00,0,not reviewed,0
3,0,in stock,https://www.amazon.in/Magnetic-Fashion-Mens-White-sneaker/dp/B071S5LSQQ/ref=sr_1_4?s=shoes&ie=UTF8&qid=1524211788&sr=1-4&keywords=shoes,Magnetic Fashion Men's White sneaker,   260.00 -    499.00,3.4 out of 5 stars,not reviewed,Lower price available on selected options
4,0,in stock,https://www.amazon.in/Asian-Running-WONDER-13s8cGRYFRZ__Grey-Firozi_8-Indian/dp/B01N54ZM9W/ref=sr_1_5?s=shoes&ie=UTF8&qid=1524211788&sr=1-5&keywords=shoes,Asian shoes Wonder-13 Grey Firozi Mesh Kids Shoes,   499.00 -    890.00,4.1 out of 5 stars,not reviewed,0
5,"   1,499.00",in stock,https://www.amazon.in/Casual-Canvas-Outdoor-partywear-Sneakers/dp/B07B3NSV5X/ref=sr_1_6?s=shoes&ie=UTF8&qid=1524211788&sr=1-6&keywords=shoes,Scion Men's Red Canvas Casual outdoor Sneaker Shoes,   299.00 -    399.00,3.9 out of 5 stars,not reviewed,Lower price available on selected options
6,0,in stock,https://www.amazon.in/T-Rock-Mens-Denim-Sneaker-Shoes/dp/B071DXCMXB/ref=sr_1_7?s=shoes&ie=UTF8&qid=1524211788&sr=1-7&keywords=shoes,T-Rock Men's Blue Denim Sneaker Shoes,   299.00 -    499.00,3.4 out of 5 stars,not reviewed,Lower price available on selected options
7,   999.00,in stock,https://www.amazon.in/T-Rock-Synthetic-Leather-Casual-Shoes-9/dp/B075K544DK/ref=sr_1_8?s=shoes&ie=UTF8&qid=1524211788&sr=1-8&keywords=shoes,T-Rock Men's Synthetic Leather Black Shoes,   275.00 -    799.00,3.6 out of 5 stars,not reviewed,Lower price available on selected options
8,0,in stock,https://www.amazon.in/Essence-Mens-Blue-3101-Shoes-5/dp/B0792NDMJH/ref=sr_1_9?s=shoes&ie=UTF8&qid=1524211788&sr=1-9&keywords=shoes,Essence Men's VC 3101 High Top Shoes,0,3.7 out of 5 stars,not reviewed,   499.00
9,"   2,499.00",in stock,https://www.amazon.in/Lotto-Vertigo-Black-Running-Shoes/dp/B072X2BGM5/ref=sr_1_10?s=shoes&ie=UTF8&qid=1524211788&sr=1-10&keywords=shoes,Lotto Men's Vertigo Running Shoes,"   989.00 -    2,099.00",4.1 out of 5 stars,not reviewed,Lower price available on selected options
