,Striked Price,availability,links,name,price,rating,reviews,sale_price
0,0,Only 1 left in stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0719367344ZJYRHRHRSI&url=https%3A%2F%2Fwww.amazon.in%2FHang-hold-women-orange-viscose%2Fdp%2FB079KSTYDS%2Fref%3Dsr_1_1_sspa%3Fie%3DUTF8%26qid%3D1524215399%26sr%3D8-1-spons%26keywords%3Dtops%26psc%3D1&qualifier=1524215399&id=2910865050724061&widgetName=sp_atf,Hang N hold women orange viscose top,   399.00,0,not reviewed,0
1,   999.00,Only 4 left in stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A0974531Y664I9GVB8EP&url=https%3A%2F%2Fwww.amazon.in%2FTen-Womens-Top-NV-17-4-M-Medium%2Fdp%2FB07C2SGTHS%2Fref%3Dsr_1_2_sspa%3Fie%3DUTF8%26qid%3D1524215399%26sr%3D8-2-spons%26keywords%3Dtops%26psc%3D1&qualifier=1524215399&id=2910865050724061&widgetName=sp_atf,Ten on Ten Women's Top,0,0,not reviewed,   439.00
2,"   1,899.00",in stock,https://www.amazon.in/Leriya-Fashion-Womens-Western-Medium/dp/B07BFWJJPR/ref=sr_1_3?ie=UTF8&qid=1524215399&sr=8-3&keywords=tops,Leriya Fashion Women's Western Wear Top,   479.00 -    599.00,3.9 out of 5 stars,not reviewed,Lower price available on selected options
3,0,in stock,https://www.amazon.in/POISON-IVY-Casual-elegant-Sleeveless-High-Low/dp/B079GWDY3X/ref=sr_1_4?ie=UTF8&qid=1524215399&sr=8-4&keywords=tops,"POISON IVY Women's Casual-elegant chiffon layered Sleeveless blouse,Elegant retro High-Low Wine/Olive Top Women shirt",   649.00 -    699.00,3.8 out of 5 stars,not reviewed,0
4,0,in stock,https://www.amazon.in/Triumphin-Womens-Blue-Top-Medium/dp/B073T3DG4Y/ref=sr_1_5?ie=UTF8&qid=1524215399&sr=8-5&keywords=tops,Triumphin Blue Women Tunic Short Kurti For Jeans Embroidered Cotton Top For Daily wear Stylish Casual and Western Wear Women / Girls Top,   399.00 -    429.00,3.9 out of 5 stars,not reviewed,Lower price available on selected options
5,0,In stock.,https://www.amazon.in/Girls-Party-Wear-Crop-top/dp/B07BKYXJBQ/ref=sr_1_6?ie=UTF8&qid=1524215399&sr=8-6&keywords=tops,Women's Party Wear Gown,   399.00,2.0 out of 5 stars,not reviewed,0
6,0,in stock,https://www.amazon.in/Triumphin-Womens-Cotton-Top-TRAMT0058_White_Large/dp/B0741GGKM4/ref=sr_1_7?ie=UTF8&qid=1524215399&sr=8-7&keywords=tops,Triumphin White Women Short Top Kurti For Jeans Embroidered Cotton Top For Daily wear Stylish Casual and Western Wear Women / Girls Top,   399.00,3.7 out of 5 stars,not reviewed,Lower price available on selected options
7,   799.00,in stock,https://www.amazon.in/Deewa-Pink-Printed-Top-Medium/dp/B0763T5DL1/ref=sr_1_8?ie=UTF8&qid=1524215399&sr=8-8&keywords=tops,Deewa Pink Printed Top,0,3.8 out of 5 stars,not reviewed,   299.00 -    324.00
8,0,in stock,https://www.amazon.in/Leriya-Fashion-Diamond-Georgette-Stylish/dp/B07B8PDZJJ/ref=sr_1_9?ie=UTF8&qid=1524215399&sr=8-9&keywords=tops,Leriya Fashion Women Tunic Short Top For Jeans Plain Diamond Georgette Top For Daily wear Stylish Casual and Western Wear Women / Girls Top,0,3.9 out of 5 stars,not reviewed,   499.00 -    549.00
9,"   1,299.00",in stock,https://www.amazon.in/Amayra-Womens-Rayon-Shoulder-Solid/dp/B077VN9V3Y/ref=sr_1_10?ie=UTF8&qid=1524215399&sr=8-10&keywords=tops,Amayra Women's Rayon Navy Blue Cold Shoulder Solid Top,0,4.0 out of 5 stars,not reviewed,   399.00
