,actualprice,discounted price,name,rating
0,"Rs. 2,999","Rs. 1,399",Puma Velocity Tetron II DP Black Casual Shoes,80%
1,"Rs. 1,999",Rs. 916,Sir Corbett Black Formal Shoes,82%
2,Rs. 449,Rs. 378,Asian White School Shoes for Boys,78%
3,"Rs. 2,999","Rs. 1,199",Lee Fox Brown Loafers,72%
4,"Rs. 4,099","Rs. 1,599",Delize Tan Chelsea boot,82%
5,0,Rs. 499,Asian Purple Running Shoes,76%
6,"Rs. 1,298",Rs. 798,Alexus Black Casual Shoes,76%
7,"Rs. 4,999","Rs. 1,786",Reebok Sublite Run Trainer Black Running Shoes,76%
8,0,Rs. 499,Nickolas casual shoes Lifestyle Blue Casual Shoes,68%
9,"Rs. 1,299",Rs. 499,R L SHOES 217 Sneakers Black Casual Shoes,66%
10,"Rs. 2,499",Rs. 959,Peponi Lifestyle Tan Casual Shoes,62%
11,"Rs. 1,899","Rs. 1,614",Sparx Navy Sport Shoes,92%
12,Rs. 998,Rs. 899,ASIAN Multi Color Casual Shoe Combo,80%
13,"Rs. 8,999","Rs. 2,150",Nike OG Blue Training Shoes,70%
14,"Rs. 2,996",Rs. 899,Globalite Multi Color Casual Shoe Combo,64%
15,0,Rs. 499,Nickolas casual shoes Outdoor Gray Casual Shoes,72%
16,"Rs. 2,249","Rs. 1,099",Leeport Brown Derby Artificial Leather Formal Shoes,78%
17,"Rs. 9,999","Rs. 2,565",Nike Air Max 2017 Blue Running Shoes,70%
18,"Rs. 1,400",Rs. 599,Pollo Casual Shoes for Kids,70%
19,Rs. 599,Rs. 496,ZAPATOES Brown Loafers,66%
