,actualprice,discounted price,name,rating
0,"Rs. 1,195",Rs. 535,Mayra Black Poly Crepe Tops,76%
1,"Rs. 2,399",Rs. 899,Shopaholic Polyester Regular Tops,66%
2,"Rs. 1,099",Rs. 440,The Bebo Crepe Regular Tops - Yellow,62%
3,"Rs. 2,100",Rs. 999,Cation Cotton Tunics,76%
4,"Rs. 1,399",Rs. 549,Chimpaaanzee Maroon Poly Georgette Tops,76%
5,"Rs. 1,299",Rs. 389,The Bebo Crepe Regular Tops,64%
6,"Rs. 2,499","Rs. 1,299",Texco Polyester Regular Tops,68%
7,"Rs. 1,899",Rs. 599,MDS Jeans Crepe Regular Tops,72%
8,"Rs. 1,099",Rs. 399,The Bebo Crepe Regular Tops - Navy,66%
9,Rs. 949,Rs. 284,Oxolloxo Polyester Regular Tops,80%
10,Rs. 999,Rs. 490,Aarnaa Satin Tunics - White,64%
11,"Rs. 1,199",Rs. 450,Sexy Cat Cotton Crop Tops,80%
12,0,Rs. 349,Me N My Latest Fashion tops & bottom Sets,0%
13,0,Rs. 489,Cult Fiction Gray Cotton T-Shirts,90%
14,0,Rs. 935,Vica Pota Cotton T-Shirts,78%
15,0,Rs. 449,CACA ANP Cotton White T-Shirts,0%
16,Rs. 999,Rs. 499,Aashish Fabrics Poly Crepe Tunics - Black,0
17,Rs. 999,Rs. 449,Urbane Woman Crepe Regular Tops - Black,64%
18,"Rs. 2,399",Rs. 899,Shopaholic Polyester Regular Tops,76%
19,"Rs. 1,099",Rs. 659,Miss Chase Floral Crop Tops For Women Sleeveless Boat Neck Party Wear,70%
20,"Rs. 1,999",Rs. 999,Aarnaa Rayon Tunics - Multi Color,66%
21,"Rs. 1,499",Rs. 679,JOLLIY Rayon Regular Tops,74%
22,"Rs. 1,299",Rs. 389,The Bebo Crepe Regular Tops,74%
23,"Rs. 1,000",Rs. 399,Ft Poly Crepe Regular Tops - Maroon,66%
